ID,YEAR,MONTH,SUPPLIER,ITEM_CODE,ITEM_DESCRIPTION,ITEM_TYPE,RETAIL_SALES,RETAIL_TRANSFERS,WAREHOUSE_SALES
1670,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,237336,FOLONARI MONT-ABRZ - 1.5L,WINE,0.0,0.0,1.0
1671,2020,1,MILLER BREWING COMPANY,23734,COORS LIGHT 18PK CANS - 16OZ,BEER,0.0,0.0,584.94
1672,2020,1,GRAPES OF SPAIN INC,237344,CASA LA RAD SOLARCE ROSADO RIOJA - 750ML,WINE,0.0,0.0,4.0
1673,2020,1,BACARDI USA INC,237357,TEELING SMALL BATCH - 750ML,LIQUOR,1.02,1.0,0.0
1674,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,237360,BULLY HILL SWEET WALTER PINEAPPLE - 750ML,WINE,0.0,0.0,1.0
1675,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,237362,BULLY HILL SWEET WALTER CHERRY - 750ML,WINE,0.0,0.0,1.0
1676,2020,1,AREL GROUP WINE & SPIRITS,237364,CARLETTO MANGO MOSCATO - 750ML,WINE,0.0,0.0,3.0
1677,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,237366,BULLY HILL SWEET WALTER BLACKBERRY - 750ML,WINE,0.0,0.0,4.0
1678,2020,1,KYSELA PERE ET FILS LTD,237382,ORNATO PINOT GRIGIO - 750ML,WINE,0.0,0.0,10.0
1679,2020,1,CROWN IMPORTS,23739,NEGRA MODELO 1/4K,KEGS,0.0,0.0,37.0
1680,2020,1,THE SPANISH WINE IMPORTERS LLC,237392,BODEGAS ONTANON JOSE ANDRES SEL ESP RIOJA - 750ML,WINE,0.0,0.0,7.0
1681,2020,1,BANVILLE & JONES WINE MERCHANTS,237414,COL DEI VENTI LANGHE NEBBIOLO - 750ML,WINE,0.0,0.0,1.0
1682,2020,1,BANVILLE & JONES WINE MERCHANTS,237416,FARINA AMARONE DELLA VALP CLASS - 750ML,WINE,0.0,0.0,1.0
1683,2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,237484,VIPRA ROSSO DOLCE SWEET RED - 750ML,WINE,0.0,0.0,2.0
1684,2020,1,BANVILLE & JONES WINE MERCHANTS,237502,CA' VIOLA BARB D'ALBA BRICHET - 750ML,WINE,0.0,0.0,2.0
1685,2020,1,KYSELA PERE ET FILS LTD,237506,BEAUVIGNAC LE MOELLEUX COTES DE THAU BLANC - 750ML,WINE,0.0,0.0,2.0
1686,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,237508,MATTHEW FRITZ S/BLC - 750ML,WINE,0.0,0.0,1.0
1687,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,237510,MATTHEW FRITZ CHARD - 750ML,WINE,0.0,0.0,5.0
1688,2020,1,MONSIEUR TOUTON SELECTION,237518,HAMILTON CREEK CHARD N/V - 750ML,WINE,0.0,0.0,2.0
1689,2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",237528,COMPLICES DE LOIRE TOURAINE SAUVIGNON POINTE D'AGRUMES - 750ML,WINE,0.0,0.0,4.0
1690,2020,1,ELITE WINES IMPORTS,237534,DOM NICOLAS ROSSIGNOL POMMARD 1ER CRU - 750ML,WINE,0.0,0.0,1.0
1691,2020,1,MONSIEUR TOUTON SELECTION,237556,JERUSALEM GOLD WINERY RES MOUNTAINS OF JERUSALEM CAB KOS - 750ML,WINE,0.0,0.0,1.0
1692,2020,1,BANVILLE & JONES WINE MERCHANTS,237572,DONATELLA CINELLI COLOMBINI ROSSO D'MONT - 750ML,WINE,0.0,0.0,1.0
1693,2020,1,BANVILLE & JONES WINE MERCHANTS,237574,MONTECAPPONE MIRIZZI VERDICCHIO CLASS - 750ML,WINE,0.0,0.0,4.0
1694,2020,1,PROXIMO SPIRITS INC,237591,PROPER NO.TWELVE - 750ML,LIQUOR,22.86,24.0,0.0
1695,2020,1,SALVETO IMPORTS LLC,237596,CH VARTELY ROSE (MALB/SYR) - 750ML,WINE,0.0,0.0,3.0
1696,2020,1,SALVETO IMPORTS LLC,237598,TUPA MALBEC - 750ML,WINE,0.0,0.0,4.0
1697,2020,1,BANVILLE & JONES WINE MERCHANTS,237610,SUBSOIL HH HILLS CAB - 750ML,WINE,0.0,0.0,6.0
1698,2020,1,MONSIEUR TOUTON SELECTION,237612,LA LECCIAIA SANT' ANTIMO ROSSO - 750ML,WINE,0.0,0.0,1.0
1699,2020,1,KYSELA PERE ET FILS LTD,237614,CH LA GRAVIERE CUV LES TERRASSES C' BOURG ROUGE - 750ML,WINE,0.0,0.0,1.0
1700,2020,1,ELITE WINES IMPORTS,237656,MILES FINEST RAINWATER MEDIUM DRY MADEIRA - 750ML,WINE,0.0,0.0,1.0
1701,2020,1,GRAPES OF SPAIN INC,237662,TXAKOLI ZUDUGARAI TXAKOLI MALDA GETARIAKO TXAKOLINA - 750ML,WINE,0.0,0.0,6.0
1702,2020,1,DMV DISTRIBUTING LLC,237672,LION & DOVE CAB - 750ML,WINE,0.56,3.0,19.83
1703,2020,1,DMV DISTRIBUTING LLC,237674,LION & DOVE CARMN - 750ML,WINE,0.24,4.0,2.0
1704,2020,1,DMV DISTRIBUTING LLC,237676,LION & DOVE CHARD - 750ML,WINE,0.0,4.0,4.0
1705,2020,1,DMV DISTRIBUTING LLC,237678,LION & DOVE P/NOIR - 750ML,WINE,0.9,4.0,2.0
1706,2020,1,DMV DISTRIBUTING LLC,237680,LION & DOVE S/BLC - 750ML,WINE,1.24,5.0,7.0
1707,2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,237694,DERRUMBES SAN LUIS POTOSI  MEXCAL (LIGHT GREEN) - 750ML,LIQUOR,0.0,0.0,1.0
1708,2020,1,BACCHUS IMPORTERS LTD,237700,SPREZZA VERO SPRITZ ITAL ROSSO VERMOUTH 6/4PK CANS - 250ML,WINE,0.0,0.0,1.0
1709,2020,1,BANVILLE & JONES WINE MERCHANTS,237706,PHILIPPONNAT CHAMP ROYALE RES BRUT - 750ML,WINE,0.0,0.0,1.0
1710,2020,1,BACARDI USA INC,237708,BACARDI LIME RUM - 1L,LIQUOR,2.36,3.0,2.0
1711,2020,1,BANVILLE & JONES WINE MERCHANTS,237718,DOM DES COLTABARDS WHITE SANCERRE - 750ML,WINE,0.0,0.0,1.0
1712,2020,1,FLYING DOG BREWERY LLLP,23772,FLYING DOG RAGING BITCH BELGIAN IPA -NR,BEER,104.4,103.0,488.75
1713,2020,1,BANVILLE & JONES WINE MERCHANTS,237726,DONNA LAURA ALI SANG TOSCANA ROSE - 750ML,WINE,2.34,2.0,9.0
1714,2020,1,ANHEUSER BUSCH INC,23773,GOOSE ISLAND IPA 4/6 NR - 12OZ,BEER,56.5,60.0,284.0
1715,2020,1,BANVILLE & JONES WINE MERCHANTS,237730,DONATELLA CINELLI COLOMBINI CHN SUP FATTORIA IL COLLE - 750ML,WINE,0.0,0.0,1.0
1716,2020,1,BACCHUS IMPORTERS LTD,237733,KAIYO MIZARUNA OAK WHISKEY - 750ML,LIQUOR,0.0,0.0,2.0
